INFO:root:Namespace(batch_size=52, beta_end=1.0, beta_start=0, clip=10, device=device(type='cuda'), epochs=200, learning_rate=1e-06, model='cdna', save_every=25, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/sv2p_state_dict_99.pth
INFO:root:Starting SV2P training on Stage 3 for 200 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:175.78004894, 0.28312702, 175.52594485, 0.90000000
INFO:root:175.69199231, 0.27673550, 175.44224206, 0.90500000
INFO:root:175.75328844, 0.27039294, 175.50790782, 0.91000000
INFO:root:175.54791014, 0.26380612, 175.30718898, 0.91500000
INFO:root:175.81670950, 0.25747201, 175.58048090, 0.92000000
INFO:root:175.84516723, 0.25172285, 175.61295433, 0.92500000
INFO:root:175.75611150, 0.24519734, 175.52869266, 0.93000000
INFO:root:175.83176676, 0.23954853, 175.60838967, 0.93500000
INFO:root:175.56789933, 0.23394412, 175.34858002, 0.94000000
INFO:root:175.71383562, 0.22788112, 175.49905992, 0.94500000
INFO:root:175.96816245, 0.22289726, 175.75697055, 0.95000000
INFO:root:175.70797738, 0.21733472, 175.50096885, 0.95500000
INFO:root:175.75959182, 0.21223583, 175.55637693, 0.96000000
INFO:root:175.46141473, 0.20725964, 175.26192922, 0.96500000
INFO:root:175.73264172, 0.20227654, 175.53694065, 0.97000000
INFO:root:175.64150308, 0.19691721, 175.45000212, 0.97500000
INFO:root:175.62386304, 0.19267327, 175.43552855, 0.98000000
INFO:root:175.77362815, 0.18788515, 175.58903267, 0.98500000
INFO:root:175.71110868, 0.18353444, 175.52986943, 0.99000000
INFO:root:175.81565445, 0.17913028, 175.63786982, 0.99500000
INFO:root:175.57107509, 0.17494507, 175.39656979, 1.00000000
INFO:root:Finished training
INFO:root:Saved model. Final Checkpoint.
INFO:root:Completed 3 training
