INFO:root:Namespace(batch_size=52, beta_end=0.001, beta_start=0.001, clip=10, device=device(type='cuda'), epochs=200, learning_rate=1e-08, model='cdna', save_every=25, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage3/final_beta=0.001/sv2p_cdna_state_dict_299.pth
INFO:root:Starting SV2P training on Stage 3 for 200 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:154.28322145, 0.03568675, 154.28318944, 0.00100000
INFO:root:154.55006417, 0.03568875, 154.55003208, 0.00100000
INFO:root:154.18838348, 0.03567990, 154.18835103, 0.00100000
INFO:root:154.46326552, 0.03559657, 154.46323368, 0.00100000
INFO:root:154.50374138, 0.03566151, 154.50370964, 0.00100000
INFO:root:154.47657750, 0.03570541, 154.47654566, 0.00100000
INFO:root:154.25387950, 0.03564368, 154.25384758, 0.00100000
INFO:root:154.43170166, 0.03565107, 154.43166974, 0.00100000
INFO:root:154.34599971, 0.03565012, 154.34596761, 0.00100000
INFO:root:154.31672414, 0.03555980, 154.31669231, 0.00100000
INFO:root:154.41322651, 0.03561697, 154.41319459, 0.00100000
INFO:root:154.35814719, 0.03551162, 154.35811554, 0.00100000
INFO:root:154.29432950, 0.03560045, 154.29429767, 0.00100000
INFO:root:154.41699368, 0.03547250, 154.41696220, 0.00100000
INFO:root:154.26314282, 0.03553957, 154.26311133, 0.00100000
INFO:root:154.31451197, 0.03556834, 154.31447970, 0.00100000
INFO:root:154.41245507, 0.03568441, 154.41242314, 0.00100000
INFO:root:154.23576294, 0.03549625, 154.23573163, 0.00100000
INFO:root:154.36085440, 0.03553964, 154.36082266, 0.00100000
INFO:root:154.41279067, 0.03561147, 154.41275840, 0.00100000
INFO:root:154.33752240, 0.03552988, 154.33749039, 0.00100000
INFO:root:154.30326528, 0.03559375, 154.30323335, 0.00100000
INFO:root:154.37334618, 0.03564506, 154.37331382, 0.00100000
INFO:root:154.17271660, 0.03564150, 154.17268490, 0.00100000
INFO:root:154.44067769, 0.03546824, 154.44064585, 0.00100000
