INFO:root:Namespace(batch_size=52, beta_end=0.001, beta_start=0, clip=10, device=device(type='cuda'), epochs=300, learning_rate=1e-06, model='cdna', save_every=25, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/finetuned2/sv2p_cdna_state_dict_199.pth
INFO:root:Starting SV2P training on Stage 3 for 300 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:154.42435604, 0.84790078, 154.42399580, 0.00042667
INFO:root:154.54410658, 0.83283767, 154.54374967, 0.00043000
INFO:root:154.25017434, 0.81804469, 154.24982154, 0.00043333
INFO:root:154.47888157, 0.80383544, 154.47853176, 0.00043667
INFO:root:154.36541695, 0.78957713, 154.36507047, 0.00044000
INFO:root:154.43950372, 0.77453578, 154.43916180, 0.00044333
INFO:root:154.44326019, 0.76021971, 154.44292213, 0.00044667
INFO:root:154.51172427, 0.74661432, 154.51138990, 0.00045000
INFO:root:154.30853885, 0.73240704, 154.30820798, 0.00045333
INFO:root:154.48414463, 0.71887453, 154.48381753, 0.00045667
INFO:root:154.49348222, 0.70484271, 154.49315906, 0.00046000
INFO:root:154.42758310, 0.69160917, 154.42726354, 0.00046333
INFO:root:154.35533098, 0.67867648, 154.35501484, 0.00046667
INFO:root:154.39831771, 0.66595721, 154.39800648, 0.00047000
INFO:root:154.18113708, 0.65247929, 154.18082945, 0.00047333
INFO:root:154.59494790, 0.64017653, 154.59464387, 0.00047667
INFO:root:154.39585815, 0.62761589, 154.39555789, 0.00048000
INFO:root:154.54176813, 0.61532999, 154.54147155, 0.00048333
INFO:root:154.13773868, 0.60278257, 154.13744630, 0.00048667
INFO:root:154.21513639, 0.59145524, 154.21484730, 0.00049000
INFO:root:154.34059476, 0.57882219, 154.34031011, 0.00049333
INFO:root:154.25907017, 0.56757380, 154.25878924, 0.00049667
INFO:root:154.50309631, 0.55624544, 154.50281998, 0.00050000
INFO:root:154.68419104, 0.54505954, 154.68391752, 0.00050333
INFO:root:154.27468087, 0.53387711, 154.27441029, 0.00050667
INFO:root:154.56860325, 0.52271519, 154.56833807, 0.00051000
INFO:root:154.47732202, 0.51149722, 154.47706122, 0.00051333
INFO:root:154.29989168, 0.50084175, 154.29963298, 0.00051667
INFO:root:154.56990884, 0.49074100, 154.56965453, 0.00052000
INFO:root:154.66305735, 0.48004208, 154.66280725, 0.00052333
INFO:root:154.45400545, 0.47030206, 154.45375868, 0.00052667
INFO:root:154.63255398, 0.45991585, 154.63231115, 0.00053000
INFO:root:154.32582715, 0.45012553, 154.32558748, 0.00053333
INFO:root:154.61759501, 0.44055082, 154.61735973, 0.00053667
INFO:root:154.25784806, 0.43128245, 154.25761628, 0.00054000
INFO:root:154.52082009, 0.42154583, 154.52059191, 0.00054333
INFO:root:154.56500042, 0.41248377, 154.56477531, 0.00054667
INFO:root:154.53877776, 0.40352214, 154.53855633, 0.00055000
